reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-17,wk inc covid hosp,-1,2026-01-10,Central,quantile,0.025,41.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Central,quantile,0.1,46.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Central,quantile,0.25,50.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Central,quantile,0.5,55.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Central,quantile,0.75,60.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Central,quantile,0.9,64.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Central,quantile,0.975,69.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Central,quantile,0.025,35.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Central,quantile,0.1,39.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Central,quantile,0.25,44.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Central,quantile,0.5,49.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Central,quantile,0.75,54.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Central,quantile,0.9,58.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Central,quantile,0.975,63.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Central,quantile,0.025,30.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Central,quantile,0.1,36.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Central,quantile,0.25,42.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Central,quantile,0.5,48.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Central,quantile,0.75,55.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Central,quantile,0.9,61.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Central,quantile,0.975,67.0
2026-01-17,wk inc covid hosp,2,2026-01-24,Central,quantile,0.025,25.0
2026-01-17,wk inc covid hosp,2,2026-01-24,Central,quantile,0.1,33.0
2026-01-17,wk inc covid hosp,2,2026-01-24,Central,quantile,0.25,40.0
2026-01-17,wk inc covid hosp,2,2026-01-24,Central,quantile,0.5,48.0
2026-01-17,wk inc covid hosp,2,2026-01-24,Central,quantile,0.75,57.0
2026-01-17,wk inc covid hosp,2,2026-01-24,Central,quantile,0.9,64.0
2026-01-17,wk inc covid hosp,2,2026-01-24,Central,quantile,0.975,71.0
2026-01-17,wk inc covid hosp,3,2026-01-31,Central,quantile,0.025,19.0
2026-01-17,wk inc covid hosp,3,2026-01-31,Central,quantile,0.1,29.0
2026-01-17,wk inc covid hosp,3,2026-01-31,Central,quantile,0.25,38.0
2026-01-17,wk inc covid hosp,3,2026-01-31,Central,quantile,0.5,48.0
2026-01-17,wk inc covid hosp,3,2026-01-31,Central,quantile,0.75,58.0
2026-01-17,wk inc covid hosp,3,2026-01-31,Central,quantile,0.9,66.0
2026-01-17,wk inc covid hosp,3,2026-01-31,Central,quantile,0.975,76.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,East,quantile,0.025,46.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,East,quantile,0.1,54.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,East,quantile,0.25,61.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,East,quantile,0.5,69.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,East,quantile,0.75,77.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,East,quantile,0.9,84.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,East,quantile,0.975,92.0
2026-01-17,wk inc covid hosp,0,2026-01-10,East,quantile,0.025,46.0
2026-01-17,wk inc covid hosp,0,2026-01-10,East,quantile,0.1,54.0
2026-01-17,wk inc covid hosp,0,2026-01-10,East,quantile,0.25,61.0
2026-01-17,wk inc covid hosp,0,2026-01-10,East,quantile,0.5,69.0
2026-01-17,wk inc covid hosp,0,2026-01-10,East,quantile,0.75,78.0
2026-01-17,wk inc covid hosp,0,2026-01-10,East,quantile,0.9,85.0
2026-01-17,wk inc covid hosp,0,2026-01-10,East,quantile,0.975,93.0
2026-01-17,wk inc covid hosp,1,2026-01-17,East,quantile,0.025,42.0
2026-01-17,wk inc covid hosp,1,2026-01-17,East,quantile,0.1,53.0
2026-01-17,wk inc covid hosp,1,2026-01-17,East,quantile,0.25,63.0
2026-01-17,wk inc covid hosp,1,2026-01-17,East,quantile,0.5,74.0
2026-01-17,wk inc covid hosp,1,2026-01-17,East,quantile,0.75,85.0
2026-01-17,wk inc covid hosp,1,2026-01-17,East,quantile,0.9,94.0
2026-01-17,wk inc covid hosp,1,2026-01-17,East,quantile,0.975,104.0
2026-01-17,wk inc covid hosp,2,2026-01-24,East,quantile,0.025,39.0
2026-01-17,wk inc covid hosp,2,2026-01-24,East,quantile,0.1,52.0
2026-01-17,wk inc covid hosp,2,2026-01-24,East,quantile,0.25,64.0
2026-01-17,wk inc covid hosp,2,2026-01-24,East,quantile,0.5,78.0
2026-01-17,wk inc covid hosp,2,2026-01-24,East,quantile,0.75,91.0
2026-01-17,wk inc covid hosp,2,2026-01-24,East,quantile,0.9,103.0
2026-01-17,wk inc covid hosp,2,2026-01-24,East,quantile,0.975,117.0
2026-01-17,wk inc covid hosp,3,2026-01-31,East,quantile,0.025,35.0
2026-01-17,wk inc covid hosp,3,2026-01-31,East,quantile,0.1,51.0
2026-01-17,wk inc covid hosp,3,2026-01-31,East,quantile,0.25,65.0
2026-01-17,wk inc covid hosp,3,2026-01-31,East,quantile,0.5,82.0
2026-01-17,wk inc covid hosp,3,2026-01-31,East,quantile,0.75,98.0
2026-01-17,wk inc covid hosp,3,2026-01-31,East,quantile,0.9,112.0
2026-01-17,wk inc covid hosp,3,2026-01-31,East,quantile,0.975,128.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North East,quantile,0.025,7.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North East,quantile,0.1,11.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North East,quantile,0.25,14.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North East,quantile,0.5,18.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North East,quantile,0.75,22.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North East,quantile,0.9,25.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North East,quantile,0.975,29.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North East,quantile,0.025,10.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North East,quantile,0.1,13.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North East,quantile,0.25,16.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North East,quantile,0.5,21.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North East,quantile,0.75,25.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North East,quantile,0.9,28.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North East,quantile,0.975,31.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North East,quantile,0.025,7.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North East,quantile,0.1,12.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North East,quantile,0.25,16.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North East,quantile,0.5,21.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North East,quantile,0.75,27.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North East,quantile,0.9,31.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North East,quantile,0.975,36.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North East,quantile,0.025,4.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North East,quantile,0.1,10.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North East,quantile,0.25,16.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North East,quantile,0.5,22.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North East,quantile,0.75,29.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North East,quantile,0.9,34.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North East,quantile,0.975,40.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North East,quantile,0.025,1.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North East,quantile,0.1,9.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North East,quantile,0.25,15.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North East,quantile,0.5,23.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North East,quantile,0.75,31.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North East,quantile,0.9,37.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North East,quantile,0.975,45.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North West,quantile,0.025,5.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North West,quantile,0.1,7.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North West,quantile,0.25,8.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North West,quantile,0.5,10.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North West,quantile,0.75,12.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North West,quantile,0.9,13.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,North West,quantile,0.975,15.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North West,quantile,0.025,4.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North West,quantile,0.1,6.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North West,quantile,0.25,7.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North West,quantile,0.5,9.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North West,quantile,0.75,11.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North West,quantile,0.9,13.0
2026-01-17,wk inc covid hosp,0,2026-01-10,North West,quantile,0.975,14.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North West,quantile,0.025,4.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North West,quantile,0.1,6.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North West,quantile,0.25,8.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North West,quantile,0.5,11.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North West,quantile,0.75,13.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North West,quantile,0.9,15.0
2026-01-17,wk inc covid hosp,1,2026-01-17,North West,quantile,0.975,17.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North West,quantile,0.025,4.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North West,quantile,0.1,6.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North West,quantile,0.25,9.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North West,quantile,0.5,12.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North West,quantile,0.75,15.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North West,quantile,0.9,17.0
2026-01-17,wk inc covid hosp,2,2026-01-24,North West,quantile,0.975,20.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North West,quantile,0.025,4.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North West,quantile,0.1,7.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North West,quantile,0.25,10.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North West,quantile,0.5,13.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North West,quantile,0.75,17.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North West,quantile,0.9,20.0
2026-01-17,wk inc covid hosp,3,2026-01-31,North West,quantile,0.975,23.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Ontario,quantile,0.025,250.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Ontario,quantile,0.1,285.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Ontario,quantile,0.25,314.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Ontario,quantile,0.5,351.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Ontario,quantile,0.75,387.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Ontario,quantile,0.9,416.0
2026-01-17,wk inc covid hosp,-1,2026-01-10,Ontario,quantile,0.975,451.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Ontario,quantile,0.025,257.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Ontario,quantile,0.1,290.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Ontario,quantile,0.25,321.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Ontario,quantile,0.5,357.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Ontario,quantile,0.75,394.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Ontario,quantile,0.9,424.0
2026-01-17,wk inc covid hosp,0,2026-01-10,Ontario,quantile,0.975,457.0
2026-01-17,wk inc covid hosp,1,2026-01-17,Ontario,quantile,0.025,232.0
