"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.025,4.5
"Central","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.1,7.5
"Central","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.25,11.25
"Central","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.5,19.75
"Central","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.75,31.75
"Central","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.9,40
"Central","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.975,44.75
"Central","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.025,2.25
"Central","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.1,2.5
"Central","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.25,2.5
"Central","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.5,10.5
"Central","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.75,32.5
"Central","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.9,49.75
"Central","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.975,63
"Central","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.025,2
"Central","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.1,3.75
"Central","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.25,5.25
"Central","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.5,9.75
"Central","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.75,17.75
"Central","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.9,22
"Central","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.975,25.25
"Central","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.025,6.25
"Central","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.1,8.625
"Central","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.25,12.125
"Central","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.5,17.625
"Central","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.75,26
"Central","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.9,32.875
"Central","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.975,43.375
"Central","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.025,3.125
"Central","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.1,4.5
"Central","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.25,6.25
"Central","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.5,9.125
"Central","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.75,20.25
"Central","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.9,29.75
"Central","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.975,44.75
"Central","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.025,4
"Central","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.1,5.75
"Central","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.25,7.125
"Central","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.5,9.125
"Central","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.75,13.125
"Central","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.9,15.625
"Central","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.975,18.75
"Central","2026-05-16","2026-05-09","wk inc covid hosp",1,"quantile",0.025,0
"Central","2026-05-16","2026-05-09","wk inc covid hosp",1,"quantile",0.1,1.5
"Central","2026-05-16","2026-05-09","wk inc covid hosp",1,"quantile",0.25,9.25
"Central","2026-05-16","2026-05-09","wk inc covid hosp",1,"quantile",0.5,18.125
"Central","2026-05-16","2026-05-09","wk inc covid hosp",1,"quantile",0.75,30.375
"Central","2026-05-16","2026-05-09","wk inc covid hosp",1,"quantile",0.9,45.375
"Central","2026-05-16","2026-05-09","wk inc covid hosp",1,"quantile",0.975,73.875
"Central","2026-05-16","2026-05-09","wk inc flu hosp",1,"quantile",0.025,0
"Central","2026-05-16","2026-05-09","wk inc flu hosp",1,"quantile",0.1,2.125
"Central","2026-05-16","2026-05-09","wk inc flu hosp",1,"quantile",0.25,5.5
"Central","2026-05-16","2026-05-09","wk inc flu hosp",1,"quantile",0.5,10.125
"Central","2026-05-16","2026-05-09","wk inc flu hosp",1,"quantile",0.75,23.5
"Central","2026-05-16","2026-05-09","wk inc flu hosp",1,"quantile",0.9,37.125
"Central","2026-05-16","2026-05-09","wk inc flu hosp",1,"quantile",0.975,65.375
"Central","2026-05-16","2026-05-09","wk inc rsv hosp",1,"quantile",0.025,0
"Central","2026-05-16","2026-05-09","wk inc rsv hosp",1,"quantile",0.1,3.25
"Central","2026-05-16","2026-05-09","wk inc rsv hosp",1,"quantile",0.25,5.875
"Central","2026-05-16","2026-05-09","wk inc rsv hosp",1,"quantile",0.5,8.875
"Central","2026-05-16","2026-05-09","wk inc rsv hosp",1,"quantile",0.75,13.625
"Central","2026-05-16","2026-05-09","wk inc rsv hosp",1,"quantile",0.9,17.5
"Central","2026-05-16","2026-05-09","wk inc rsv hosp",1,"quantile",0.975,24
"Central","2026-05-23","2026-05-09","wk inc covid hosp",2,"quantile",0.025,0
"Central","2026-05-23","2026-05-09","wk inc covid hosp",2,"quantile",0.1,0.25
"Central","2026-05-23","2026-05-09","wk inc covid hosp",2,"quantile",0.25,8.25
"Central","2026-05-23","2026-05-09","wk inc covid hosp",2,"quantile",0.5,19
"Central","2026-05-23","2026-05-09","wk inc covid hosp",2,"quantile",0.75,34.25
"Central","2026-05-23","2026-05-09","wk inc covid hosp",2,"quantile",0.9,55.875
"Central","2026-05-23","2026-05-09","wk inc covid hosp",2,"quantile",0.975,106.75
"Central","2026-05-23","2026-05-09","wk inc flu hosp",2,"quantile",0.025,0
"Central","2026-05-23","2026-05-09","wk inc flu hosp",2,"quantile",0.1,1.75
"Central","2026-05-23","2026-05-09","wk inc flu hosp",2,"quantile",0.25,5.625
"Central","2026-05-23","2026-05-09","wk inc flu hosp",2,"quantile",0.5,11.75
"Central","2026-05-23","2026-05-09","wk inc flu hosp",2,"quantile",0.75,25.5
"Central","2026-05-23","2026-05-09","wk inc flu hosp",2,"quantile",0.9,41.25
"Central","2026-05-23","2026-05-09","wk inc flu hosp",2,"quantile",0.975,81.5
"Central","2026-05-23","2026-05-09","wk inc rsv hosp",2,"quantile",0.025,0
"Central","2026-05-23","2026-05-09","wk inc rsv hosp",2,"quantile",0.1,1.375
"Central","2026-05-23","2026-05-09","wk inc rsv hosp",2,"quantile",0.25,4.75
"Central","2026-05-23","2026-05-09","wk inc rsv hosp",2,"quantile",0.5,8.125
"Central","2026-05-23","2026-05-09","wk inc rsv hosp",2,"quantile",0.75,13.375
"Central","2026-05-23","2026-05-09","wk inc rsv hosp",2,"quantile",0.9,18.125
"Central","2026-05-23","2026-05-09","wk inc rsv hosp",2,"quantile",0.975,27.625
"Central","2026-05-30","2026-05-09","wk inc covid hosp",3,"quantile",0.025,0
"Central","2026-05-30","2026-05-09","wk inc covid hosp",3,"quantile",0.1,0
"Central","2026-05-30","2026-05-09","wk inc covid hosp",3,"quantile",0.25,7.625
"Central","2026-05-30","2026-05-09","wk inc covid hosp",3,"quantile",0.5,21
"Central","2026-05-30","2026-05-09","wk inc covid hosp",3,"quantile",0.75,39.75
"Central","2026-05-30","2026-05-09","wk inc covid hosp",3,"quantile",0.9,67.25
"Central","2026-05-30","2026-05-09","wk inc covid hosp",3,"quantile",0.975,139.375
"Central","2026-05-30","2026-05-09","wk inc flu hosp",3,"quantile",0.025,0
"Central","2026-05-30","2026-05-09","wk inc flu hosp",3,"quantile",0.1,1.75
"Central","2026-05-30","2026-05-09","wk inc flu hosp",3,"quantile",0.25,5
"Central","2026-05-30","2026-05-09","wk inc flu hosp",3,"quantile",0.5,12.75
"Central","2026-05-30","2026-05-09","wk inc flu hosp",3,"quantile",0.75,28.875
"Central","2026-05-30","2026-05-09","wk inc flu hosp",3,"quantile",0.9,48.125
"Central","2026-05-30","2026-05-09","wk inc flu hosp",3,"quantile",0.975,103.5
"Central","2026-05-30","2026-05-09","wk inc rsv hosp",3,"quantile",0.025,0
"Central","2026-05-30","2026-05-09","wk inc rsv hosp",3,"quantile",0.1,0.625
"Central","2026-05-30","2026-05-09","wk inc rsv hosp",3,"quantile",0.25,3.875
"Central","2026-05-30","2026-05-09","wk inc rsv hosp",3,"quantile",0.5,7.75
"Central","2026-05-30","2026-05-09","wk inc rsv hosp",3,"quantile",0.75,13.625
"Central","2026-05-30","2026-05-09","wk inc rsv hosp",3,"quantile",0.9,19.5
"Central","2026-05-30","2026-05-09","wk inc rsv hosp",3,"quantile",0.975,31.25
"East","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.025,3.25
"East","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.1,3.25
"East","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.25,7
"East","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.5,15
"East","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.75,29
"East","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.9,37.75
"East","2026-05-02","2026-05-09","wk inc covid hosp",-1,"quantile",0.975,44.5
"East","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.025,0.25
"East","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.1,0.5
"East","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.25,0.5
"East","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.5,3.5
"East","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.75,16.25
"East","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.9,26.25
"East","2026-05-02","2026-05-09","wk inc flu hosp",-1,"quantile",0.975,39
"East","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.025,1.75
"East","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.1,3
"East","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.25,4.5
"East","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.5,8.75
"East","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.75,16.75
"East","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.9,21
"East","2026-05-02","2026-05-09","wk inc rsv hosp",-1,"quantile",0.975,24.5
"East","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.025,4.25
"East","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.1,6.125
"East","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.25,9.25
"East","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.5,14.375
"East","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.75,22.875
"East","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.9,29.625
"East","2026-05-09","2026-05-09","wk inc covid hosp",0,"quantile",0.975,39.5
"East","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.025,0.625
"East","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.1,0.75
"East","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.25,1.125
"East","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.5,2.125
"East","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.75,7.5
"East","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.9,13.625
"East","2026-05-09","2026-05-09","wk inc flu hosp",0,"quantile",0.975,24.625
"East","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.025,3.5
"East","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.1,5.25
"East","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.25,6.375
"East","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.5,8.5
"East","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.75,12.5
"East","2026-05-09","2026-05-09","wk inc rsv hosp",0,"quantile",0.9,15.125
