"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.025,29.25
"Central","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.1,34.25
"Central","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.25,40.75
"Central","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.5,44
"Central","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.75,47.25
"Central","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.9,53.75
"Central","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.975,67.5
"Central","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.025,5
"Central","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.1,6.25
"Central","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.25,8.25
"Central","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.5,9
"Central","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.75,10
"Central","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.9,12.25
"Central","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.975,19.5
"Central","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.025,18.5
"Central","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.1,21.25
"Central","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.25,22.25
"Central","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.5,23
"Central","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.75,24
"Central","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.9,25
"Central","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.975,27.5
"Central","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.025,0
"Central","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.1,13
"Central","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.25,32
"Central","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.5,43.5
"Central","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.75,55.5
"Central","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.9,77.25
"Central","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.975,128.75
"Central","2026-04-11","2026-04-04","wk inc flu hosp",1,"quantile",0.025,0
"Central","2026-04-11","2026-04-04","wk inc flu hosp",1,"quantile",0.1,1.75
"Central","2026-04-11","2026-04-04","wk inc flu hosp",1,"quantile",0.25,6.25
"Central","2026-04-11","2026-04-04","wk inc flu hosp",1,"quantile",0.5,9.75
"Central","2026-04-11","2026-04-04","wk inc flu hosp",1,"quantile",0.75,13.5
"Central","2026-04-11","2026-04-04","wk inc flu hosp",1,"quantile",0.9,21.75
"Central","2026-04-11","2026-04-04","wk inc flu hosp",1,"quantile",0.975,51
"Central","2026-04-11","2026-04-04","wk inc rsv hosp",1,"quantile",0.025,5.75
"Central","2026-04-11","2026-04-04","wk inc rsv hosp",1,"quantile",0.1,15.5
"Central","2026-04-11","2026-04-04","wk inc rsv hosp",1,"quantile",0.25,19.75
"Central","2026-04-11","2026-04-04","wk inc rsv hosp",1,"quantile",0.5,21.75
"Central","2026-04-11","2026-04-04","wk inc rsv hosp",1,"quantile",0.75,24
"Central","2026-04-11","2026-04-04","wk inc rsv hosp",1,"quantile",0.9,27.75
"Central","2026-04-11","2026-04-04","wk inc rsv hosp",1,"quantile",0.975,37.5
"Central","2026-04-18","2026-04-04","wk inc covid hosp",2,"quantile",0.025,0
"Central","2026-04-18","2026-04-04","wk inc covid hosp",2,"quantile",0.1,5
"Central","2026-04-18","2026-04-04","wk inc covid hosp",2,"quantile",0.25,26.5
"Central","2026-04-18","2026-04-04","wk inc covid hosp",2,"quantile",0.5,45
"Central","2026-04-18","2026-04-04","wk inc covid hosp",2,"quantile",0.75,63.75
"Central","2026-04-18","2026-04-04","wk inc covid hosp",2,"quantile",0.9,100
"Central","2026-04-18","2026-04-04","wk inc covid hosp",2,"quantile",0.975,197.5
"Central","2026-04-18","2026-04-04","wk inc flu hosp",2,"quantile",0.025,0
"Central","2026-04-18","2026-04-04","wk inc flu hosp",2,"quantile",0.1,1
"Central","2026-04-18","2026-04-04","wk inc flu hosp",2,"quantile",0.25,5
"Central","2026-04-18","2026-04-04","wk inc flu hosp",2,"quantile",0.5,11.25
"Central","2026-04-18","2026-04-04","wk inc flu hosp",2,"quantile",0.75,18
"Central","2026-04-18","2026-04-04","wk inc flu hosp",2,"quantile",0.9,29.75
"Central","2026-04-18","2026-04-04","wk inc flu hosp",2,"quantile",0.975,84.75
"Central","2026-04-18","2026-04-04","wk inc rsv hosp",2,"quantile",0.025,1.25
"Central","2026-04-18","2026-04-04","wk inc rsv hosp",2,"quantile",0.1,12.5
"Central","2026-04-18","2026-04-04","wk inc rsv hosp",2,"quantile",0.25,17.75
"Central","2026-04-18","2026-04-04","wk inc rsv hosp",2,"quantile",0.5,21.25
"Central","2026-04-18","2026-04-04","wk inc rsv hosp",2,"quantile",0.75,24.75
"Central","2026-04-18","2026-04-04","wk inc rsv hosp",2,"quantile",0.9,29.75
"Central","2026-04-18","2026-04-04","wk inc rsv hosp",2,"quantile",0.975,45.5
"Central","2026-04-25","2026-04-04","wk inc covid hosp",3,"quantile",0.025,0
"Central","2026-04-25","2026-04-04","wk inc covid hosp",3,"quantile",0.1,3.5
"Central","2026-04-25","2026-04-04","wk inc covid hosp",3,"quantile",0.25,23
"Central","2026-04-25","2026-04-04","wk inc covid hosp",3,"quantile",0.5,48.75
"Central","2026-04-25","2026-04-04","wk inc covid hosp",3,"quantile",0.75,74.5
"Central","2026-04-25","2026-04-04","wk inc covid hosp",3,"quantile",0.9,122
"Central","2026-04-25","2026-04-04","wk inc covid hosp",3,"quantile",0.975,259
"Central","2026-04-25","2026-04-04","wk inc flu hosp",3,"quantile",0.025,0
"Central","2026-04-25","2026-04-04","wk inc flu hosp",3,"quantile",0.1,0.75
"Central","2026-04-25","2026-04-04","wk inc flu hosp",3,"quantile",0.25,3.75
"Central","2026-04-25","2026-04-04","wk inc flu hosp",3,"quantile",0.5,12.5
"Central","2026-04-25","2026-04-04","wk inc flu hosp",3,"quantile",0.75,22.5
"Central","2026-04-25","2026-04-04","wk inc flu hosp",3,"quantile",0.9,37.25
"Central","2026-04-25","2026-04-04","wk inc flu hosp",3,"quantile",0.975,109
"Central","2026-04-25","2026-04-04","wk inc rsv hosp",3,"quantile",0.025,0.25
"Central","2026-04-25","2026-04-04","wk inc rsv hosp",3,"quantile",0.1,9.5
"Central","2026-04-25","2026-04-04","wk inc rsv hosp",3,"quantile",0.25,16.5
"Central","2026-04-25","2026-04-04","wk inc rsv hosp",3,"quantile",0.5,21.25
"Central","2026-04-25","2026-04-04","wk inc rsv hosp",3,"quantile",0.75,25.5
"Central","2026-04-25","2026-04-04","wk inc rsv hosp",3,"quantile",0.9,32.5
"Central","2026-04-25","2026-04-04","wk inc rsv hosp",3,"quantile",0.975,52.75
"East","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.025,32.75
"East","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.1,41
"East","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.25,45.5
"East","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.5,48.25
"East","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.75,50.75
"East","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.9,55
"East","2026-04-04","2026-04-04","wk inc covid hosp",0,"quantile",0.975,67
"East","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.025,5
"East","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.1,6.25
"East","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.25,8.5
"East","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.5,9
"East","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.75,9.75
"East","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.9,12.25
"East","2026-04-04","2026-04-04","wk inc flu hosp",0,"quantile",0.975,19
"East","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.025,16.75
"East","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.1,19.5
"East","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.25,20.25
"East","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.5,21
"East","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.75,21.5
"East","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.9,22.25
"East","2026-04-04","2026-04-04","wk inc rsv hosp",0,"quantile",0.975,25
"East","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.025,2.75
"East","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.1,16.5
"East","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.25,34.25
"East","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.5,44.5
"East","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.75,55.25
"East","2026-04-11","2026-04-04","wk inc covid hosp",1,"quantile",0.9,75.5
